X,Y
-6.9,1.12E-22
-6.89,1.29E-22
-6.88,1.49E-22
-6.87,1.72E-22
-6.86,1.99E-22
-6.85,2.30E-22
-6.84,2.65E-22
-6.83,3.06E-22
-6.82,3.53E-22
-6.81,4.07E-22
-6.8,4.70E-22
-6.79,5.42E-22
-6.78,6.25E-22
-6.77,7.21E-22
-6.76,8.31E-22
-6.75,9.58E-22
-6.74,1.10E-21
-6.73,1.27E-21
-6.72,1.46E-21
-6.71,1.69E-21
-6.7,1.94E-21
-6.69,2.23E-21
-6.68,2.57E-21
-6.67,2.96E-21
-6.66,3.40E-21
-6.65,3.91E-21
-6.64,4.50E-21
-6.63,5.17E-21
-6.62,5.94E-21
-6.61,6.83E-21
-6.6,7.84E-21
-6.59,9.01E-21
-6.58,1.03E-20
-6.57,1.19E-20
-6.56,1.36E-20
-6.55,1.56E-20
-6.54,1.80E-20
-6.53,2.06E-20
-6.52,2.36E-20
-6.51,2.71E-20
-6.5,3.10E-20
-6.49,3.56E-20
-6.48,4.08E-20
-6.47,4.67E-20
-6.46,5.35E-20
-6.45,6.13E-20
-6.44,7.02E-20
-6.43,8.03E-20
-6.42,9.19E-20
-6.41,1.05E-19
-6.4,1.20E-19
-6.39,1.38E-19
-6.38,1.57E-19
-6.37,1.80E-19
-6.36,2.06E-19
-6.35,2.35E-19
-6.34,2.69E-19
-6.33,3.07E-19
-6.32,3.50E-19
-6.31,4.00E-19
-6.3,4.57E-19
-6.29,5.21E-19
-6.28,5.95E-19
-6.27,6.79E-19
-6.26,7.74E-19
-6.25,8.83E-19
-6.24,1.01E-18
-6.23,1.15E-18
-6.22,1.31E-18
-6.21,1.49E-18
-6.2,1.70E-18
-6.19,1.93E-18
-6.18,2.20E-18
-6.17,2.51E-18
-6.16,2.85E-18
-6.15,3.25E-18
-6.14,3.69E-18
-6.13,4.20E-18
-6.12,4.78E-18
-6.11,5.43E-18
-6.1,6.18E-18
-6.09,7.02E-18
-6.08,7.98E-18
-6.07,9.06E-18
-6.06,1.03E-17
-6.05,1.17E-17
-6.04,1.33E-17
-6.03,1.51E-17
-6.02,1.71E-17
-6.01,1.94E-17
-6,2.20E-17
-5.99,2.50E-17
-5.98,2.83E-17
-5.97,3.21E-17
-5.96,3.64E-17
-5.95,4.12E-17
-5.94,4.67E-17
-5.93,5.29E-17
-5.92,5.99E-17
-5.91,6.78E-17
-5.9,7.68E-17
-5.89,8.69E-17
-5.88,9.84E-17
-5.87,1.11E-16
-5.86,1.26E-16
-5.85,1.42E-16
-5.84,1.61E-16
-5.83,1.82E-16
-5.82,2.06E-16
-5.81,2.32E-16
-5.8,2.62E-16
-5.79,2.96E-16
-5.78,3.35E-16
-5.77,3.78E-16
-5.76,4.26E-16
-5.75,4.81E-16
-5.74,5.43E-16
-5.73,6.13E-16
-5.72,6.91E-16
-5.71,7.79E-16
-5.7,8.78E-16
-5.69,9.90E-16
-5.68,1.12E-15
-5.67,1.26E-15
-5.66,1.42E-15
-5.65,1.59E-15
-5.64,1.79E-15
-5.63,2.02E-15
-5.62,2.27E-15
-5.61,2.56E-15
-5.6,2.88E-15
-5.59,3.24E-15
-5.58,3.64E-15
-5.57,4.09E-15
-5.56,4.60E-15
-5.55,5.17E-15
-5.54,5.80E-15
-5.53,6.52E-15
-5.52,7.32E-15
-5.51,8.22E-15
-5.5,9.23E-15
-5.49,1.04E-14
-5.48,1.16E-14
-5.47,1.30E-14
-5.46,1.46E-14
-5.45,1.64E-14
-5.44,1.84E-14
-5.43,2.06E-14
-5.42,2.31E-14
-5.41,2.59E-14
-5.4,2.90E-14
-5.39,3.25E-14
-5.38,3.64E-14
-5.37,4.07E-14
-5.36,4.56E-14
-5.35,5.10E-14
-5.34,5.70E-14
-5.33,6.38E-14
-5.32,7.14E-14
-5.31,7.98E-14
-5.3,8.92E-14
-5.29,9.97E-14
-5.28,1.11E-13
-5.27,1.24E-13
-5.26,1.39E-13
-5.25,1.55E-13
-5.24,1.73E-13
-5.23,1.93E-13
-5.22,2.16E-13
-5.21,2.41E-13
-5.2,2.69E-13
-5.19,3.00E-13
-5.18,3.34E-13
-5.17,3.72E-13
-5.16,4.15E-13
-5.15,4.63E-13
-5.14,5.15E-13
-5.13,5.74E-13
-5.12,6.39E-13
-5.11,7.12E-13
-5.1,7.93E-13
-5.09,8.82E-13
-5.08,9.81E-13
-5.07,1.09E-12
-5.06,1.21E-12
-5.05,1.35E-12
-5.04,1.50E-12
-5.03,1.67E-12
-5.02,1.85E-12
-5.01,2.06E-12
-5,2.29E-12
-4.99,2.54E-12
-4.98,2.82E-12
-4.97,3.13E-12
-4.96,3.48E-12
-4.95,3.86E-12
-4.94,4.28E-12
-4.93,4.75E-12
-4.92,5.27E-12
-4.91,5.84E-12
-4.9,6.47E-12
-4.89,7.18E-12
-4.88,7.95E-12
-4.87,8.81E-12
-4.86,9.76E-12
-4.85,1.08E-11
-4.84,1.20E-11
-4.83,1.32E-11
-4.82,1.47E-11
-4.81,1.62E-11
-4.8,1.79E-11
-4.79,1.98E-11
-4.78,2.19E-11
-4.77,2.42E-11
-4.76,2.68E-11
-4.75,2.96E-11
-4.74,3.27E-11
-4.73,3.61E-11
-4.72,3.99E-11
-4.71,4.41E-11
-4.7,4.86E-11
-4.69,5.37E-11
-4.68,5.92E-11
-4.67,6.53E-11
-4.66,7.21E-11
-4.65,7.95E-11
-4.64,8.76E-11
-4.63,9.66E-11
-4.62,1.06E-10
-4.61,1.17E-10
-4.6,1.29E-10
-4.59,1.42E-10
-4.58,1.57E-10
-4.57,1.72E-10
-4.56,1.90E-10
-4.55,2.09E-10
-4.54,2.30E-10
-4.53,2.53E-10
-4.52,2.78E-10
-4.51,3.06E-10
-4.5,3.36E-10
-4.49,3.69E-10
-4.48,4.06E-10
-4.47,4.46E-10
-4.46,4.89E-10
-4.45,5.37E-10
-4.44,5.90E-10
-4.43,6.47E-10
-4.42,7.11E-10
-4.41,7.80E-10
-4.4,8.55E-10
-4.39,9.38E-10
-4.38,1.03E-09
-4.37,1.13E-09
-4.36,1.24E-09
-4.35,1.35E-09
-4.34,1.48E-09
-4.33,1.62E-09
-4.32,1.78E-09
-4.31,1.95E-09
-4.3,2.13E-09
-4.29,2.33E-09
-4.28,2.55E-09
-4.27,2.79E-09
-4.26,3.06E-09
-4.25,3.34E-09
-4.24,3.65E-09
-4.23,3.99E-09
-4.22,4.36E-09
-4.21,4.77E-09
-4.2,5.21E-09
-4.19,5.69E-09
-4.18,6.21E-09
-4.17,6.78E-09
-4.16,7.40E-09
-4.15,8.07E-09
-4.14,8.81E-09
-4.13,9.60E-09
-4.12,1.05E-08
-4.11,1.14E-08
-4.1,1.24E-08
-4.09,1.36E-08
-4.08,1.48E-08
-4.07,1.61E-08
-4.06,1.75E-08
-4.05,1.91E-08
-4.04,2.08E-08
-4.03,2.26E-08
-4.02,2.46E-08
-4.01,2.68E-08
-4,2.91E-08
-3.99,3.17E-08
-3.98,3.45E-08
-3.97,3.75E-08
-3.96,4.07E-08
-3.95,4.42E-08
-3.94,4.81E-08
-3.93,5.22E-08
-3.92,5.67E-08
-3.91,6.15E-08
-3.9,6.68E-08
-3.89,7.25E-08
-3.88,7.87E-08
-3.87,8.53E-08
-3.86,9.26E-08
-3.85,1.00E-07
-3.84,1.09E-07
-3.83,1.18E-07
-3.82,1.28E-07
-3.81,1.38E-07
-3.8,1.50E-07
-3.79,1.62E-07
-3.78,1.76E-07
-3.77,1.90E-07
-3.76,2.06E-07
-3.75,2.23E-07
-3.74,2.41E-07
-3.73,2.61E-07
-3.72,2.82E-07
-3.71,3.05E-07
-3.7,3.30E-07
-3.69,3.56E-07
-3.68,3.85E-07
-3.67,4.16E-07
-3.66,4.49E-07
-3.65,4.85E-07
-3.64,5.24E-07
-3.63,5.65E-07
-3.62,6.10E-07
-3.61,6.58E-07
-3.6,7.10E-07
-3.59,7.65E-07
-3.58,8.25E-07
-3.57,8.90E-07
-3.56,9.59E-07
-3.55,1.03E-06
-3.54,1.11E-06
-3.53,1.20E-06
-3.52,1.29E-06
-3.51,1.39E-06
-3.5,1.50E-06
-3.49,1.61E-06
-3.48,1.73E-06
-3.47,1.86E-06
-3.46,2.00E-06
-3.45,2.15E-06
-3.44,2.32E-06
-3.43,2.49E-06
-3.42,2.68E-06
-3.41,2.87E-06
-3.4,3.09E-06
-3.39,3.32E-06
-3.38,3.56E-06
-3.37,3.82E-06
-3.36,4.10E-06
-3.35,4.40E-06
-3.34,4.72E-06
-3.33,5.06E-06
-3.32,5.43E-06
-3.31,5.82E-06
-3.3,6.24E-06
-3.29,6.69E-06
-3.28,7.16E-06
-3.27,7.67E-06
-3.26,8.22E-06
-3.25,8.80E-06
-3.24,9.42E-06
-3.23,1.01E-05
-3.22,1.08E-05
-3.21,1.15E-05
-3.2,1.23E-05
-3.19,1.32E-05
-3.18,1.41E-05
-3.17,1.51E-05
-3.16,1.61E-05
-3.15,1.72E-05
-3.14,1.84E-05
-3.13,1.97E-05
-3.12,2.10E-05
-3.11,2.24E-05
-3.1,2.39E-05
-3.09,2.55E-05
-3.08,2.72E-05
-3.07,2.91E-05
-3.06,3.10E-05
-3.05,3.31E-05
-3.04,3.52E-05
-3.03,3.76E-05
-3.02,4.00E-05
-3.01,4.26E-05
-3,4.54E-05
-2.99,4.84E-05
-2.98,5.15E-05
-2.97,5.48E-05
-2.96,5.83E-05
-2.95,6.21E-05
-2.94,6.60E-05
-2.93,7.02E-05
-2.92,7.47E-05
-2.91,7.94E-05
-2.9,8.44E-05
-2.89,8.97E-05
-2.88,9.53E-05
-2.87,0.00010122
-2.86,0.00010749
-2.85,0.00011414
-2.84,0.00012116
-2.83,0.0001286
-2.82,0.00013646
-2.81,0.00014477
-2.8,0.00015356
-2.79,0.00016284
-2.78,0.00017265
-2.77,0.00018301
-2.76,0.00019396
-2.75,0.00020551
-2.74,0.00021771
-2.73,0.00023058
-2.72,0.00024416
-2.71,0.00025849
-2.7,0.0002736
-2.69,0.00028954
-2.68,0.00030634
-2.67,0.00032404
-2.66,0.0003427
-2.65,0.00036235
-2.64,0.00038305
-2.63,0.00040485
-2.62,0.0004278
-2.61,0.00045195
-2.6,0.00047737
-2.59,0.00050411
-2.58,0.00053224
-2.57,0.00056182
-2.56,0.00059291
-2.55,0.0006256
-2.54,0.00065995
-2.53,0.00069604
-2.52,0.00073396
-2.51,0.00077377
-2.5,0.00081557
-2.49,0.00085945
-2.48,0.0009055
-2.47,0.00095382
-2.46,0.0010045
-2.45,0.0010577
-2.44,0.0011134
-2.43,0.0011718
-2.42,0.0012331
-2.41,0.0012972
-2.4,0.0013644
-2.39,0.0014348
-2.38,0.0015085
-2.37,0.0015857
-2.36,0.0016664
-2.35,0.0017509
-2.34,0.0018393
-2.33,0.0019318
-2.32,0.0020285
-2.31,0.0021295
-2.3,0.0022352
-2.29,0.0023456
-2.28,0.0024609
-2.27,0.0025813
-2.26,0.0027071
-2.25,0.0028384
-2.24,0.0029755
-2.23,0.0031185
-2.22,0.0032677
-2.21,0.0034233
-2.2,0.0035856
-2.19,0.0037547
-2.18,0.0039311
-2.17,0.0041148
-2.16,0.0043063
-2.15,0.0045057
-2.14,0.0047133
-2.13,0.0049295
-2.12,0.0051545
-2.11,0.0053886
-2.1,0.0056322
-2.09,0.0058856
-2.08,0.006149
-2.07,0.006423
-2.06,0.0067077
-2.05,0.0070035
-2.04,0.0073109
-2.03,0.0076302
-2.02,0.0079617
-2.01,0.0083059
-2,0.0086632
-1.99,0.0090339
-1.98,0.0094185
-1.97,0.0098174
-1.96,0.010231
-1.95,0.01066
-1.94,0.011104
-1.93,0.011565
-1.92,0.012042
-1.91,0.012537
-1.9,0.013048
-1.89,0.013578
-1.88,0.014127
-1.87,0.014694
-1.86,0.015281
-1.85,0.015888
-1.84,0.016516
-1.83,0.017165
-1.82,0.017836
-1.81,0.018529
-1.8,0.019245
-1.79,0.019984
-1.78,0.020748
-1.77,0.021536
-1.76,0.022349
-1.75,0.023188
-1.74,0.024054
-1.73,0.024947
-1.72,0.025867
-1.71,0.026816
-1.7,0.027794
-1.69,0.028801
-1.68,0.029838
-1.67,0.030907
-1.66,0.032007
-1.65,0.033139
-1.64,0.034304
-1.63,0.035503
-1.62,0.036735
-1.61,0.038003
-1.6,0.039306
-1.59,0.040645
-1.58,0.042021
-1.57,0.043434
-1.56,0.044886
-1.55,0.046376
-1.54,0.047905
-1.53,0.049475
-1.52,0.051085
-1.51,0.052737
-1.5,0.054431
-1.49,0.056167
-1.48,0.057947
-1.47,0.05977
-1.46,0.061638
-1.45,0.063551
-1.44,0.065509
-1.43,0.067513
-1.42,0.069565
-1.41,0.071663
-1.4,0.07381
-1.39,0.076004
-1.38,0.078248
-1.37,0.080541
-1.36,0.082883
-1.35,0.085276
-1.34,0.087719
-1.33,0.090214
-1.32,0.09276
-1.31,0.095358
-1.3,0.098007
-1.29,0.10071
-1.28,0.10347
-1.27,0.10627
-1.26,0.10913
-1.25,0.11205
-1.24,0.11502
-1.23,0.11804
-1.22,0.12112
-1.21,0.12425
-1.2,0.12743
-1.19,0.13067
-1.18,0.13397
-1.17,0.13731
-1.16,0.14071
-1.15,0.14417
-1.14,0.14768
-1.13,0.15124
-1.12,0.15486
-1.11,0.15853
-1.1,0.16225
-1.09,0.16602
-1.08,0.16985
-1.07,0.17373
-1.06,0.17766
-1.05,0.18164
-1.04,0.18567
-1.03,0.18975
-1.02,0.19388
-1.01,0.19806
-1,0.20229
-0.99,0.20656
-0.98,0.21088
-0.97,0.21524
-0.96,0.21965
-0.95,0.2241
-0.94,0.22859
-0.93,0.23312
-0.92,0.2377
-0.91,0.24231
-0.9,0.24696
-0.89,0.25164
-0.88,0.25637
-0.87,0.26112
-0.86,0.26591
-0.85,0.27073
-0.84,0.27557
-0.83,0.28045
-0.82,0.28535
-0.81,0.29028
-0.8,0.29523
-0.79,0.3002
-0.78,0.30519
-0.77,0.3102
-0.76,0.31522
-0.75,0.32026
-0.74,0.32531
-0.73,0.33038
-0.72,0.33544
-0.71,0.34052
-0.7,0.3456
-0.69,0.35068
-0.68,0.35576
-0.67,0.36084
-0.66,0.36592
-0.65,0.37099
-0.64,0.37605
-0.63,0.3811
-0.62,0.38613
-0.61,0.39115
-0.6,0.39616
-0.59,0.40114
-0.58,0.4061
-0.57,0.41103
-0.56,0.41594
-0.55,0.42082
-0.54,0.42566
-0.53,0.43047
-0.52,0.43524
-0.51,0.43998
-0.5,0.44467
-0.49,0.44932
-0.48,0.45392
-0.47,0.45847
-0.46,0.46297
-0.45,0.46741
-0.44,0.4718
-0.43,0.47613
-0.42,0.4804
-0.41,0.48461
-0.4,0.48875
-0.39,0.49282
-0.38,0.49682
-0.37,0.50075
-0.36,0.5046
-0.35,0.50838
-0.34,0.51208
-0.33,0.51569
-0.32,0.51923
-0.31,0.52267
-0.3,0.52603
-0.29,0.5293
-0.28,0.53248
-0.27,0.53556
-0.26,0.53855
-0.25,0.54145
